timestamp,car1_x,car1_y,car2_x,car2_y
2024-08-08 03:13:13.847042,600,425,575,400
2024-08-08 03:13:16.318026,600,425,575,400
2024-08-08 03:13:17.098936,600,400,575,400
2024-08-08 03:13:18.354222,600,425,575,400
2024-08-08 03:13:19.346456,600,400,600,375
2024-08-08 03:13:31.956759,575,400,600,375
2024-08-08 03:13:31.957028,600,375,600,400
2024-08-08 03:13:36.823922,600,425,575,400
2024-08-08 03:13:48.957552,600,425,575,400
2024-08-08 03:14:04.272073,600,400,575,400
2024-08-08 03:14:04.272320,575,400,600,425
2024-08-08 03:14:18.154307,625,400,600,375
2024-08-08 03:14:18.867306,600,375,575,400
2024-08-08 03:14:18.867508,575,400,600,400
2024-08-08 03:14:19.281467,600,425,575,400
2024-08-08 03:14:21.482244,600,425,575,400
2024-08-08 03:14:22.367453,625,400,600,375
2024-08-08 03:14:22.367670,600,375,575,400
2024-08-08 03:14:22.468540,600,400,600,375
2024-08-08 03:14:22.468706,600,375,625,400
2024-08-08 03:14:26.824249,600,425,575,400
2024-08-08 03:14:50.504259,600,425,575,400
2024-08-08 03:14:50.504496,575,400,600,375
2024-08-08 03:14:50.630316,600,400,575,400
2024-08-08 03:14:50.630491,575,400,600,425
2024-08-08 03:14:58.516289,625,400,600,375
2024-08-08 03:15:06.261513,600,400,600,375
2024-08-08 03:15:06.261799,600,375,625,400
2024-08-08 03:15:12.671668,600,425,575,400
2024-08-08 03:15:12.671945,575,400,600,375
2024-08-08 03:15:19.236149,625,400,600,375
2024-08-08 03:15:19.355272,600,375,575,400
2024-08-08 03:15:19.355495,575,400,600,400
2024-08-08 03:15:23.174240,600,400,575,400
2024-08-08 03:15:23.174465,575,400,600,425
2024-08-08 03:15:23.483420,600,425,575,400
2024-08-08 03:15:30.849315,600,400,575,400
2024-08-08 03:15:30.849569,575,400,600,425
2024-08-08 03:15:35.010592,575,400,600,375
2024-08-08 03:15:46.664895,625,400,600,375
2024-08-08 03:15:57.920593,625,400,600,375
2024-08-08 03:16:11.699941,625,400,600,375
