timestamp,max_waiting_duration
2024-08-08 21:17:00.538817,0
2024-08-08 21:17:00.733635,2
2024-08-08 21:17:00.751590,4
2024-08-08 21:17:00.768627,6
2024-08-08 21:17:00.786110,8
2024-08-08 21:17:00.802702,10
2024-08-08 21:17:00.819910,12
2024-08-08 21:17:00.837148,14
2024-08-08 21:17:00.854537,16
2024-08-08 21:17:00.870983,18
2024-08-08 21:17:00.888770,20
2024-08-08 21:17:00.906638,22
2024-08-08 21:17:00.922688,24
2024-08-08 21:17:00.938828,26
2024-08-08 21:17:00.956075,28
2024-08-08 21:17:00.973183,30
2024-08-08 21:17:00.990208,32
2024-08-08 21:17:01.006485,34
2024-08-08 21:17:01.022494,36
2024-08-08 21:17:01.039446,38
2024-08-08 21:17:01.055879,40
2024-08-08 21:17:01.072942,42
2024-08-08 21:17:01.090155,44
2024-08-08 21:17:01.107094,46
2024-08-08 21:17:01.124042,48
2024-08-08 21:17:01.141006,50
2024-08-08 21:17:01.158136,52
2024-08-08 21:17:01.175026,54
2024-08-08 21:17:01.191609,56
2024-08-08 21:17:01.207816,58
2024-08-08 21:17:01.224748,60
2024-08-08 21:17:01.241858,62
2024-08-08 21:17:01.259311,64
2024-08-08 21:17:01.276637,66
2024-08-08 21:17:01.293428,68
2024-08-08 21:17:01.309940,1
2024-08-08 21:17:01.310270,0
2024-08-08 21:17:01.546608,2
2024-08-08 21:17:01.563182,4
2024-08-08 21:17:01.580503,6
2024-08-08 21:17:01.597625,8
2024-08-08 21:17:01.613989,10
2024-08-08 21:17:01.631299,12
2024-08-08 21:17:01.648761,14
2024-08-08 21:17:01.665344,16
2024-08-08 21:17:01.681813,18
2024-08-08 21:17:01.698460,20
2024-08-08 21:17:01.714222,0
2024-08-08 21:17:01.764885,2
2024-08-08 21:17:01.781798,4
2024-08-08 21:17:01.798904,6
2024-08-08 21:17:01.815740,8
2024-08-08 21:17:01.833363,10
2024-08-08 21:17:01.849837,12
2024-08-08 21:17:01.867424,14
2024-08-08 21:17:01.883047,16
2024-08-08 21:17:01.899993,18
2024-08-08 21:17:01.917410,0
2024-08-08 21:17:02.017970,2
2024-08-08 21:17:02.035657,4
2024-08-08 21:17:02.051937,6
2024-08-08 21:17:02.069287,8
2024-08-08 21:17:02.085567,10
2024-08-08 21:17:02.101809,12
2024-08-08 21:17:02.118885,1
2024-08-08 21:17:02.119122,0
2024-08-08 21:17:02.490816,2
2024-08-08 21:17:02.507713,4
2024-08-08 21:17:02.524724,6
2024-08-08 21:17:02.541828,8
2024-08-08 21:17:02.558854,10
2024-08-08 21:17:02.575856,12
2024-08-08 21:17:02.593005,14
2024-08-08 21:17:02.610043,16
2024-08-08 21:17:02.627180,18
2024-08-08 21:17:02.644012,20
2024-08-08 21:17:02.660875,22
2024-08-08 21:17:02.677726,24
2024-08-08 21:17:02.694167,26
2024-08-08 21:17:02.710717,28
2024-08-08 21:17:02.727691,0
2024-08-08 21:17:02.778701,2
2024-08-08 21:17:02.795787,4
2024-08-08 21:17:02.812819,6
2024-08-08 21:17:02.829985,8
2024-08-08 21:17:02.847634,10
2024-08-08 21:17:02.863685,12
2024-08-08 21:17:02.880656,14
2024-08-08 21:17:02.898373,16
2024-08-08 21:17:02.915139,18
2024-08-08 21:17:02.931869,0
2024-08-08 21:17:03.017222,2
2024-08-08 21:17:03.034367,4
2024-08-08 21:17:03.051186,6
2024-08-08 21:17:03.067799,8
2024-08-08 21:17:03.085634,10
2024-08-08 21:17:03.102216,12
2024-08-08 21:17:03.119594,14
2024-08-08 21:17:03.136152,16
2024-08-08 21:17:03.152788,18
2024-08-08 21:17:03.169677,20
2024-08-08 21:17:03.185984,22
2024-08-08 21:17:03.203250,24
2024-08-08 21:17:03.220348,26
2024-08-08 21:17:03.237164,28
2024-08-08 21:17:03.253584,30
2024-08-08 21:17:03.269218,32
2024-08-08 21:17:03.286360,34
2024-08-08 21:17:03.302120,36
2024-08-08 21:17:03.319490,38
2024-08-08 21:17:03.336154,1
2024-08-08 21:17:03.336433,0
2024-08-08 21:17:03.386595,2
2024-08-08 21:17:03.403454,4
2024-08-08 21:17:03.420210,6
2024-08-08 21:17:03.436866,8
2024-08-08 21:17:03.454622,10
2024-08-08 21:17:03.470684,12
2024-08-08 21:17:03.486877,14
2024-08-08 21:17:03.504382,16
2024-08-08 21:17:03.521057,18
2024-08-08 21:17:03.537636,0
2024-08-08 21:17:03.587072,2
2024-08-08 21:17:03.604091,4
2024-08-08 21:17:03.620377,6
2024-08-08 21:17:03.636976,8
2024-08-08 21:17:03.653691,10
2024-08-08 21:17:03.670330,12
2024-08-08 21:17:03.686023,14
2024-08-08 21:17:03.702853,16
2024-08-08 21:17:03.720195,18
2024-08-08 21:17:03.736996,20
2024-08-08 21:17:03.754580,2
2024-08-08 21:17:03.771293,4
2024-08-08 21:17:03.787639,6
2024-08-08 21:17:03.804828,8
2024-08-08 21:17:03.821962,10
2024-08-08 21:17:03.838668,12
2024-08-08 21:17:03.855804,14
2024-08-08 21:17:03.873199,16
2024-08-08 21:17:03.889964,18
2024-08-08 21:17:03.907068,20
2024-08-08 21:17:03.924212,22
2024-08-08 21:17:03.941222,24
2024-08-08 21:17:03.958031,1
2024-08-08 21:17:03.958255,0
2024-08-08 21:17:04.041998,2
2024-08-08 21:17:04.059449,4
2024-08-08 21:17:04.075730,6
2024-08-08 21:17:04.093354,8
2024-08-08 21:17:04.110542,10
2024-08-08 21:17:04.126817,12
2024-08-08 21:17:04.144194,14
2024-08-08 21:17:04.161053,2
2024-08-08 21:17:04.178312,4
2024-08-08 21:17:04.194741,6
2024-08-08 21:17:04.212107,8
2024-08-08 21:17:04.229326,10
2024-08-08 21:17:04.246040,12
2024-08-08 21:17:04.262782,14
2024-08-08 21:17:04.279838,16
2024-08-08 21:17:04.296983,18
2024-08-08 21:17:04.313729,20
2024-08-08 21:17:04.330696,22
2024-08-08 21:17:04.347933,24
2024-08-08 21:17:04.365560,0
2024-08-08 21:17:04.448571,2
2024-08-08 21:17:04.465484,4
2024-08-08 21:17:04.481754,6
2024-08-08 21:17:04.498494,8
2024-08-08 21:17:04.515401,10
2024-08-08 21:17:04.531606,12
2024-08-08 21:17:04.547567,14
2024-08-08 21:17:04.564383,16
2024-08-08 21:17:04.581429,0
2024-08-08 21:17:04.784519,2
2024-08-08 21:17:04.801547,4
2024-08-08 21:17:04.818075,6
2024-08-08 21:17:04.835384,8
2024-08-08 21:17:04.851732,10
2024-08-08 21:17:04.869515,12
2024-08-08 21:17:04.886243,14
2024-08-08 21:17:04.902824,16
2024-08-08 21:17:04.920180,18
2024-08-08 21:17:04.935922,20
2024-08-08 21:17:04.953294,22
2024-08-08 21:17:04.969734,24
2024-08-08 21:17:04.985386,0
2024-08-08 21:17:05.137810,2
2024-08-08 21:17:05.154816,4
2024-08-08 21:17:05.170929,6
2024-08-08 21:17:05.188402,8
2024-08-08 21:17:05.204787,10
2024-08-08 21:17:05.221090,12
2024-08-08 21:17:05.238155,14
2024-08-08 21:17:05.254241,16
2024-08-08 21:17:05.271315,18
2024-08-08 21:17:05.288202,20
2024-08-08 21:17:05.304927,22
2024-08-08 21:17:05.322452,24
2024-08-08 21:17:05.338847,26
2024-08-08 21:17:05.355865,28
2024-08-08 21:17:05.373529,30
2024-08-08 21:17:05.390032,24
2024-08-08 21:17:05.390258,26
2024-08-08 21:17:05.406835,28
2024-08-08 21:17:05.423625,30
2024-08-08 21:17:05.441173,32
2024-08-08 21:17:05.458056,34
2024-08-08 21:17:05.475523,36
2024-08-08 21:17:05.491796,38
2024-08-08 21:17:05.508702,40
2024-08-08 21:17:05.526189,42
2024-08-08 21:17:05.543064,44
2024-08-08 21:17:05.560329,46
2024-08-08 21:17:05.576817,48
2024-08-08 21:17:05.594231,1
2024-08-08 21:17:05.594439,0
2024-08-08 21:17:05.898302,2
2024-08-08 21:17:05.915284,4
2024-08-08 21:17:05.932599,6
2024-08-08 21:17:05.948727,8
2024-08-08 21:17:05.965932,10
2024-08-08 21:17:05.982871,12
2024-08-08 21:17:05.999864,14
2024-08-08 21:17:06.017365,16
2024-08-08 21:17:06.033571,18
2024-08-08 21:17:06.050171,20
