timestamp,max_waiting_duration
2026-01-19 22:50:48.617082,0
2026-01-19 22:50:48.806630,2
2026-01-19 22:50:48.823938,4
2026-01-19 22:50:48.840100,6
2026-01-19 22:50:48.857138,8
2026-01-19 22:50:48.874349,10
2026-01-19 22:50:48.891095,12
2026-01-19 22:50:48.907406,14
2026-01-19 22:50:48.924333,16
2026-01-19 22:50:48.941320,18
2026-01-19 22:50:48.958464,20
2026-01-19 22:50:48.975674,22
2026-01-19 22:50:48.991631,24
2026-01-19 22:50:49.007961,26
2026-01-19 22:50:49.025179,28
2026-01-19 22:50:49.042837,30
2026-01-19 22:50:49.059542,32
2026-01-19 22:50:49.076058,34
2026-01-19 22:50:49.092408,36
2026-01-19 22:50:49.109669,38
2026-01-19 22:50:49.126767,40
2026-01-19 22:50:49.143507,42
2026-01-19 22:50:49.160799,44
2026-01-19 22:50:49.176858,46
2026-01-19 22:50:49.192585,48
2026-01-19 22:50:49.209593,50
2026-01-19 22:50:49.226501,52
2026-01-19 22:50:49.243464,54
2026-01-19 22:50:49.260810,56
2026-01-19 22:50:49.277363,58
2026-01-19 22:50:49.294350,60
2026-01-19 22:50:49.311038,62
2026-01-19 22:50:49.328689,64
2026-01-19 22:50:49.345267,66
2026-01-19 22:50:49.362869,68
2026-01-19 22:50:49.379282,70
2026-01-19 22:50:49.396258,72
2026-01-19 22:50:49.412793,74
2026-01-19 22:50:49.429644,76
2026-01-19 22:50:49.446514,78
2026-01-19 22:50:49.463117,80
2026-01-19 22:50:49.479865,82
2026-01-19 22:50:49.497575,84
2026-01-19 22:50:49.513370,86
2026-01-19 22:50:49.530100,88
2026-01-19 22:50:49.546861,90
2026-01-19 22:50:49.564572,92
2026-01-19 22:50:49.581590,94
2026-01-19 22:50:49.597975,96
2026-01-19 22:50:49.615627,98
2026-01-19 22:50:49.632516,100
2026-01-19 22:50:49.649335,102
2026-01-19 22:50:49.666079,104
2026-01-19 22:50:49.683646,106
2026-01-19 22:50:49.700068,108
2026-01-19 22:50:49.716972,110
2026-01-19 22:50:49.734792,112
2026-01-19 22:50:49.751372,114
2026-01-19 22:50:49.767272,116
2026-01-19 22:50:49.784795,118
2026-01-19 22:50:49.800971,120
2026-01-19 22:50:49.818546,122
2026-01-19 22:50:49.834896,124
2026-01-19 22:50:49.852716,126
2026-01-19 22:50:49.869111,128
2026-01-19 22:50:49.886056,130
2026-01-19 22:50:49.902691,132
2026-01-19 22:50:49.918878,134
2026-01-19 22:50:49.936086,136
2026-01-19 22:50:49.953260,138
2026-01-19 22:50:49.969346,140
2026-01-19 22:50:49.985153,142
2026-01-19 22:50:50.001983,144
2026-01-19 22:50:50.019364,146
2026-01-19 22:50:50.036764,148
2026-01-19 22:50:50.053285,150
2026-01-19 22:50:50.069599,152
2026-01-19 22:50:50.086403,154
2026-01-19 22:50:50.103396,156
2026-01-19 22:50:50.119682,158
2026-01-19 22:50:50.136636,160
2026-01-19 22:50:50.152914,162
2026-01-19 22:50:50.169890,164
2026-01-19 22:50:50.187409,166
2026-01-19 22:50:50.204293,168
2026-01-19 22:50:50.221155,170
2026-01-19 22:50:50.238749,172
2026-01-19 22:50:50.255311,174
2026-01-19 22:50:50.271657,176
2026-01-19 22:50:50.287773,178
2026-01-19 22:50:50.304603,180
2026-01-19 22:50:50.320991,182
2026-01-19 22:50:50.338540,184
2026-01-19 22:50:50.354686,186
2026-01-19 22:50:50.371398,188
2026-01-19 22:50:50.387894,190
2026-01-19 22:50:50.405387,192
2026-01-19 22:50:50.421639,194
2026-01-19 22:50:50.438027,196
2026-01-19 22:50:50.454648,198
2026-01-19 22:50:50.471306,200
2026-01-19 22:50:50.487916,202
2026-01-19 22:50:50.505657,204
2026-01-19 22:50:50.521696,206
2026-01-19 22:50:50.538474,208
2026-01-19 22:50:50.554890,210
2026-01-19 22:50:50.572782,212
2026-01-19 22:50:50.589743,214
2026-01-19 22:50:50.606175,216
2026-01-19 22:50:50.623320,218
2026-01-19 22:50:50.639719,220
2026-01-19 22:50:50.656462,222
2026-01-19 22:50:50.673223,224
2026-01-19 22:50:50.690336,226
2026-01-19 22:50:50.707237,228
2026-01-19 22:50:50.723225,230
2026-01-19 22:50:50.740502,232
2026-01-19 22:50:50.757685,234
2026-01-19 22:50:50.774494,236
2026-01-19 22:50:50.790822,238
2026-01-19 22:50:50.808011,240
2026-01-19 22:50:50.825264,242
2026-01-19 22:50:50.842415,244
2026-01-19 22:50:50.859778,246
2026-01-19 22:50:50.876090,248
2026-01-19 22:50:50.893326,250
2026-01-19 22:50:50.910520,252
2026-01-19 22:50:50.927650,254
2026-01-19 22:50:50.943796,256
2026-01-19 22:50:50.960937,258
2026-01-19 22:50:50.978038,260
2026-01-19 22:50:50.995311,262
2026-01-19 22:50:51.012698,264
2026-01-19 22:50:51.028958,266
2026-01-19 22:50:51.045494,268
2026-01-19 22:50:51.062150,270
2026-01-19 22:50:51.078997,272
2026-01-19 22:50:51.096209,274
2026-01-19 22:50:51.112951,276
2026-01-19 22:50:51.130422,278
2026-01-19 22:50:51.146215,280
2026-01-19 22:50:51.163762,282
2026-01-19 22:50:51.180685,284
2026-01-19 22:50:51.197334,286
2026-01-19 22:50:51.213829,288
2026-01-19 22:50:51.230515,290
