timestamp,car1_x,car1_y,car2_x,car2_y
2026-01-19 22:55:07.913657,600,400,600,375
2026-01-19 22:55:07.964406,600,400,600,375
2026-01-19 22:55:08.014842,600,400,600,375
2026-01-19 22:55:08.063928,600,400,600,375
2026-01-19 22:55:08.114397,625,400,600,375
2026-01-19 22:55:08.114793,575,400,600,375
2026-01-19 22:55:10.971546,600,400,600,375
2026-01-19 22:55:10.972050,600,375,625,400
2026-01-19 22:55:12.223065,600,375,575,400
2026-01-19 22:55:20.449709,600,400,600,375
2026-01-19 22:55:20.450011,600,375,625,400
2026-01-19 22:55:31.037558,600,400,575,400
2026-01-19 22:55:31.656843,600,425,575,400
2026-01-19 22:55:32.281150,600,425,575,400
2026-01-19 22:55:49.299160,600,400,600,375
2026-01-19 22:55:49.299420,600,375,625,400
2026-01-19 22:55:50.026995,625,400,600,375
2026-01-19 22:55:50.256386,600,375,575,400
2026-01-19 22:55:50.530823,600,400,575,400
2026-01-19 22:55:51.107867,600,400,600,375
2026-01-19 22:55:51.108146,600,375,625,400
2026-01-19 22:55:51.408024,600,375,575,400
2026-01-19 22:55:51.950922,575,400,600,375
2026-01-19 22:55:51.951351,600,375,600,400
2026-01-19 22:55:58.186680,575,400,600,375
2026-01-19 22:55:58.240657,575,400,600,375
2026-01-19 22:55:58.292262,575,400,600,375
2026-01-19 22:55:58.341099,575,400,600,375
2026-01-19 22:55:58.389482,575,400,600,375
2026-01-19 22:55:58.437905,575,400,600,375
2026-01-19 22:55:58.438146,600,375,600,400
2026-01-19 22:56:00.433649,600,400,600,375
2026-01-19 22:56:00.433845,600,375,625,400
2026-01-19 22:56:01.098032,575,400,600,375
2026-01-19 22:56:01.098259,600,375,600,400
2026-01-19 22:56:02.432633,600,425,575,400
2026-01-19 22:56:08.456965,600,400,600,375
2026-01-19 22:56:08.513942,600,400,600,375
2026-01-19 22:56:08.570574,625,400,600,375
2026-01-19 22:56:08.570754,575,400,600,375
2026-01-19 22:56:11.409222,600,375,575,400
2026-01-19 22:56:21.411385,600,425,575,400
2026-01-19 22:56:21.411640,575,400,600,375
2026-01-19 22:56:31.450150,600,400,575,400
2026-01-19 22:56:31.450405,575,400,600,425
2026-01-19 22:56:32.632001,600,400,600,375
2026-01-19 22:56:32.632241,600,375,625,400
2026-01-19 22:56:41.461026,600,425,575,400
2026-01-19 22:56:41.461282,575,400,600,375
2026-01-19 22:56:42.883840,575,400,600,375
2026-01-19 22:56:42.884073,600,375,600,400
2026-01-19 22:56:51.431002,600,375,575,400
2026-01-19 22:56:51.431305,575,400,600,400
2026-01-19 22:56:51.701949,600,425,575,400
2026-01-19 22:56:51.702223,575,400,600,375
2026-01-19 22:56:52.222449,625,400,600,375
2026-01-19 22:56:52.511175,575,400,600,375
2026-01-19 22:56:52.511421,600,375,600,400
2026-01-19 22:56:53.080780,600,375,575,400
2026-01-19 22:57:01.952010,600,400,575,400
2026-01-19 22:57:01.952329,575,400,600,425
2026-01-19 22:57:12.198696,600,400,575,400
2026-01-19 22:57:21.847239,600,375,575,400
2026-01-19 22:57:21.847490,575,400,600,400
2026-01-19 22:57:22.221221,600,400,575,400
2026-01-19 22:57:22.221483,575,400,600,425
2026-01-19 22:57:22.665810,575,400,600,375
2026-01-19 22:57:22.666050,600,375,600,400
2026-01-19 22:57:22.965646,600,425,575,400
2026-01-19 22:57:31.980156,600,400,575,400
2026-01-19 22:57:31.980445,575,400,600,425
2026-01-19 22:57:32.314399,600,400,575,400
2026-01-19 22:57:41.993000,600,400,575,400
2026-01-19 22:57:41.993247,575,400,600,425
2026-01-19 22:57:42.328822,600,400,575,400
2026-01-19 22:57:43.247392,600,375,575,400
2026-01-19 22:57:52.699742,600,425,575,400
2026-01-19 22:57:52.700009,575,400,600,375
2026-01-19 22:57:53.263886,600,400,575,400
2026-01-19 22:58:02.714825,600,400,575,400
2026-01-19 22:58:02.715126,575,400,600,425
2026-01-19 22:58:03.361460,600,400,575,400
2026-01-19 22:58:13.142195,600,400,575,400
2026-01-19 22:58:13.142397,575,400,600,425
2026-01-19 22:58:23.006240,600,400,575,400
2026-01-19 22:58:23.006514,575,400,600,425
2026-01-19 22:58:23.286143,600,375,575,400
2026-01-19 22:58:23.286381,575,400,600,400
2026-01-19 22:58:32.962599,600,425,575,400
2026-01-19 22:58:32.962863,575,400,600,375
2026-01-19 22:58:33.424202,600,400,575,400
2026-01-19 22:58:43.043467,600,375,575,400
2026-01-19 22:58:43.043747,575,400,600,400
2026-01-19 22:58:43.266616,600,375,575,400
2026-01-19 22:58:43.266858,575,400,600,400
2026-01-19 22:58:53.350428,600,375,575,400
2026-01-19 22:58:53.350744,575,400,600,400
2026-01-19 22:59:03.444009,600,425,575,400
2026-01-19 22:59:03.444294,575,400,600,375
2026-01-19 22:59:12.976972,575,400,600,375
2026-01-19 22:59:13.294446,600,400,575,400
2026-01-19 22:59:13.294753,575,400,600,425
2026-01-19 22:59:23.117016,600,400,600,375
2026-01-19 22:59:23.639752,600,375,575,400
2026-01-19 22:59:23.640031,575,400,600,400
2026-01-19 22:59:33.318443,625,400,600,375
2026-01-19 22:59:33.569013,600,425,575,400
2026-01-19 22:59:33.569331,575,400,600,375
2026-01-19 22:59:43.507263,600,425,575,400
2026-01-19 22:59:43.507598,575,400,600,375
2026-01-19 22:59:53.327113,625,400,600,375
2026-01-19 22:59:53.795379,600,400,575,400
2026-01-19 22:59:53.795664,575,400,600,425
2026-01-19 23:00:03.788934,600,375,575,400
2026-01-19 23:00:03.789252,575,400,600,400
2026-01-19 23:00:13.547934,575,400,600,375
