timestamp,max_waiting_duration
2026-01-19 22:50:41.990854,0
2026-01-19 22:50:42.181176,2
2026-01-19 22:50:42.199129,4
2026-01-19 22:50:42.215880,6
2026-01-19 22:50:42.232689,8
2026-01-19 22:50:42.249824,10
2026-01-19 22:50:42.265960,12
2026-01-19 22:50:42.283950,14
2026-01-19 22:50:42.301084,16
2026-01-19 22:50:42.317459,18
2026-01-19 22:50:42.334390,20
2026-01-19 22:50:42.350796,22
2026-01-19 22:50:42.368796,24
2026-01-19 22:50:42.385828,26
2026-01-19 22:50:42.400953,28
2026-01-19 22:50:42.418830,30
2026-01-19 22:50:42.434323,32
2026-01-19 22:50:42.451036,34
2026-01-19 22:50:42.467684,36
2026-01-19 22:50:42.484391,38
2026-01-19 22:50:42.501861,40
2026-01-19 22:50:42.517686,42
2026-01-19 22:50:42.534499,44
2026-01-19 22:50:42.551447,46
2026-01-19 22:50:42.567686,48
2026-01-19 22:50:42.584455,50
2026-01-19 22:50:42.600990,52
2026-01-19 22:50:42.617768,54
2026-01-19 22:50:42.634050,56
2026-01-19 22:50:42.650473,58
2026-01-19 22:50:42.666805,60
2026-01-19 22:50:42.683513,62
2026-01-19 22:50:42.700814,64
2026-01-19 22:50:42.716994,66
2026-01-19 22:50:42.734856,68
2026-01-19 22:50:42.751831,70
2026-01-19 22:50:42.768504,72
2026-01-19 22:50:42.785141,74
2026-01-19 22:50:42.802732,76
2026-01-19 22:50:42.819442,78
2026-01-19 22:50:42.836040,80
2026-01-19 22:50:42.853245,82
2026-01-19 22:50:42.870054,84
2026-01-19 22:50:42.887707,86
2026-01-19 22:50:42.904080,88
2026-01-19 22:50:42.921805,90
2026-01-19 22:50:42.938342,92
2026-01-19 22:50:42.955357,94
2026-01-19 22:50:42.972093,96
2026-01-19 22:50:42.989791,98
2026-01-19 22:50:43.005332,100
2026-01-19 22:50:43.022736,102
2026-01-19 22:50:43.039271,104
2026-01-19 22:50:43.055938,106
2026-01-19 22:50:43.073191,108
2026-01-19 22:50:43.091140,110
2026-01-19 22:50:43.106964,112
2026-01-19 22:50:43.124625,114
2026-01-19 22:50:43.140731,116
2026-01-19 22:50:43.158343,118
2026-01-19 22:50:43.175576,120
2026-01-19 22:50:43.192164,122
2026-01-19 22:50:43.208854,124
2026-01-19 22:50:43.226156,126
2026-01-19 22:50:43.243527,128
2026-01-19 22:50:43.260125,130
2026-01-19 22:50:43.277243,132
2026-01-19 22:50:43.293733,134
2026-01-19 22:50:43.311201,136
2026-01-19 22:50:43.327282,138
2026-01-19 22:50:43.343087,140
2026-01-19 22:50:43.359824,142
2026-01-19 22:50:43.377562,144
2026-01-19 22:50:43.394248,146
2026-01-19 22:50:43.410692,148
2026-01-19 22:50:43.428405,150
2026-01-19 22:50:43.445144,152
2026-01-19 22:50:43.461864,154
2026-01-19 22:50:43.478738,156
2026-01-19 22:50:43.496510,158
2026-01-19 22:50:43.513106,160
2026-01-19 22:50:43.529906,162
2026-01-19 22:50:43.546958,164
2026-01-19 22:50:43.563531,166
2026-01-19 22:50:43.580345,168
2026-01-19 22:50:43.596857,170
2026-01-19 22:50:43.614456,172
2026-01-19 22:50:43.630365,174
2026-01-19 22:50:43.646758,176
2026-01-19 22:50:43.663749,178
2026-01-19 22:50:43.681253,180
2026-01-19 22:50:43.697977,182
2026-01-19 22:50:43.715454,184
2026-01-19 22:50:43.732034,186
2026-01-19 22:50:43.748719,188
2026-01-19 22:50:43.766091,190
2026-01-19 22:50:43.782213,192
2026-01-19 22:50:43.798947,194
2026-01-19 22:50:43.816658,196
2026-01-19 22:50:43.833345,198
2026-01-19 22:50:43.850102,200
